GEOID,CTYNAME,RACE,SEX,AGEGRP,YEAR,POPULATION
47007,Bledsoe,1,1,2,2022,251
47007,Bledsoe,1,1,3,2022,288
47007,Bledsoe,1,1,4,2022,278
47007,Bledsoe,1,1,5,2022,338
47007,Bledsoe,1,1,6,2022,445
47007,Bledsoe,1,1,7,2022,492
47007,Bledsoe,1,1,8,2022,485
47007,Bledsoe,1,1,9,2022,539
47007,Bledsoe,1,1,10,2022,533
47007,Bledsoe,1,1,11,2022,533
47007,Bledsoe,1,1,12,2022,591
47007,Bledsoe,1,1,13,2022,615
47007,Bledsoe,1,1,14,2022,471
47007,Bledsoe,1,1,15,2022,400
47007,Bledsoe,1,1,16,2022,317
47007,Bledsoe,1,1,17,2022,187
47007,Bledsoe,1,1,18,2022,114
47007,Bledsoe,1,2,1,2022,253
47007,Bledsoe,1,2,2,2022,238
47007,Bledsoe,1,2,3,2022,248
47007,Bledsoe,1,2,4,2022,234
47007,Bledsoe,1,2,5,2022,264
47007,Bledsoe,1,2,6,2022,324
47007,Bledsoe,1,2,7,2022,350
47007,Bledsoe,1,2,8,2022,283
47007,Bledsoe,1,2,9,2022,382
47007,Bledsoe,1,2,10,2022,407
47007,Bledsoe,1,2,11,2022,433
47007,Bledsoe,1,2,12,2022,507
47007,Bledsoe,1,2,13,2022,542
47007,Bledsoe,1,2,14,2022,461
47007,Bledsoe,1,2,15,2022,376
47007,Bledsoe,1,2,16,2022,289
47007,Bledsoe,1,2,17,2022,210
47007,Bledsoe,1,2,18,2022,147
47007,Bledsoe,2,1,1,2022,3
47007,Bledsoe,2,1,2,2022,4
47007,Bledsoe,2,1,3,2022,7
47007,Bledsoe,2,1,4,2022,54
47007,Bledsoe,2,1,5,2022,67
47007,Bledsoe,2,1,6,2022,85
47007,Bledsoe,2,1,7,2022,142
47007,Bledsoe,2,1,8,2022,120
47007,Bledsoe,2,1,9,2022,120
47007,Bledsoe,2,1,10,2022,60
47007,Bledsoe,2,1,11,2022,55
47007,Bledsoe,2,1,12,2022,35
47007,Bledsoe,2,1,13,2022,13
47007,Bledsoe,2,1,14,2022,14
47007,Bledsoe,2,1,15,2022,5
47007,Bledsoe,2,1,16,2022,3
47007,Bledsoe,2,1,17,2022,2
47007,Bledsoe,2,1,18,2022,2
47007,Bledsoe,2,2,1,2022,3
47007,Bledsoe,2,2,2,2022,2
47007,Bledsoe,2,2,3,2022,5
47007,Bledsoe,2,2,4,2022,1
47007,Bledsoe,2,2,5,2022,7
47007,Bledsoe,2,2,6,2022,2
